jour,strategie,mae,biais
2026-06-05,reference_23h,999.303113958011,855.4142408133342
2026-06-05,origine_22h,1175.3404282918339,1075.6510133528525
2026-06-05,report_22h,962.487576533269,795.6511664006988
2026-06-05,moyenne_2h,963.0285903250734,797.0234601487549
2026-06-05,moyenne_3h,1287.0082580841981,1194.872466852983
2026-06-05,mediane_3h,963.4997859772471,797.7522644965809
2026-06-06,reference_23h,722.1686644529846,526.4064351505168
2026-06-06,origine_22h,780.3558695638459,621.4461441312852
2026-06-06,report_22h,650.8589937099747,317.15646218269865
2026-06-06,moyenne_2h,691.2218927952345,142.50138415870734
2026-06-06,moyenne_3h,649.203083682515,319.2670647741565
2026-06-06,mediane_3h,650.8589937099747,317.15646218269865
2026-06-07,reference_23h,1092.2486949995812,402.3041605039947
2026-06-07,origine_22h,1130.4496201687246,384.9108040976666
2026-06-07,report_22h,1109.3011178399618,0.43031100921112025
2026-06-07,moyenne_2h,1163.5160456307774,-76.76111483735835
2026-06-07,moyenne_3h,1108.5098983538796,-66.5203626564963
2026-06-07,mediane_3h,1133.5088161001493,-7.392746888148869
2026-06-08,reference_23h,810.3502129636036,-532.6982072736085
2026-06-08,origine_22h,890.2744701693765,-623.7192437223139
2026-06-08,report_22h,1042.1898772659406,-810.2967778591944
2026-06-08,moyenne_2h,1181.2107548325625,-1041.5927990638868
2026-06-08,moyenne_3h,1180.9404069388174,-1017.628687288936
2026-06-08,mediane_3h,1104.5354765585162,-889.6507274453656
2026-06-09,reference_23h,707.6683288343585,511.56878397400544
2026-06-09,origine_22h,830.4297528060479,712.9137229205808
2026-06-09,report_22h,704.2673361976824,497.26635793668413
2026-06-09,moyenne_2h,698.1168514239686,461.271629353983
2026-06-09,moyenne_3h,884.1471133895418,812.0089537144939
2026-06-09,mediane_3h,704.2673361976824,497.26635793668413
2026-06-10,reference_23h,557.3676299163958,329.0171373846944
2026-06-10,origine_22h,525.6890684741508,351.0068839514652
2026-06-10,report_22h,559.7403883058328,309.6233893171451
2026-06-10,moyenne_2h,563.97614437732,182.9181809952513
2026-06-10,moyenne_3h,617.5418559882755,391.83813886083067
2026-06-10,mediane_3h,559.7403883058328,309.6233893171451
2026-06-11,reference_23h,719.3141372537651,-197.39448126885407
2026-06-11,origine_22h,605.2185258178038,-224.5035212994648
2026-06-11,report_22h,745.8492560133271,-238.0624578205809
2026-06-11,moyenne_2h,809.0213055558336,-402.57598794001547
2026-06-11,moyenne_3h,761.2497295749835,-193.8285334740747
2026-06-11,mediane_3h,745.8492560133271,-238.0624578205809
2026-06-12,reference_23h,556.7592550151656,-285.7782959184504
2026-06-12,origine_22h,524.7907893149174,-194.08701229680287
2026-06-12,report_22h,572.656892115061,-338.7363294751982
2026-06-12,moyenne_2h,580.4769726488885,-404.75974014871525
2026-06-12,moyenne_3h,545.8326594533146,-287.6263119072749
2026-06-12,mediane_3h,572.656892115061,-338.7363294751982
2026-06-13,reference_23h,788.7196413430369,344.72386328374546
2026-06-13,origine_22h,826.9523310317948,512.7734982553893
2026-06-13,report_22h,784.454816469303,204.26465924712923
2026-06-13,moyenne_2h,834.9722249294475,13.47158904086372
2026-06-13,moyenne_3h,790.816553665922,198.2244815519823
2026-06-13,mediane_3h,784.454816469303,204.26465924712923
2026-06-14,reference_23h,1074.4143516508627,559.7167843465841
2026-06-14,origine_22h,1122.663474058269,431.22534848912414
2026-06-14,report_22h,1008.5069442638415,195.0091397039241
2026-06-14,moyenne_2h,1027.9234846878096,18.776663434722256
2026-06-14,moyenne_3h,991.207287839297,93.30401276837027
2026-06-14,mediane_3h,998.416424338022,186.01376558216995
2026-06-15,reference_23h,897.6278479226397,-754.4547514336955
2026-06-15,origine_22h,876.4075214210626,-704.4483021093785
2026-06-15,report_22h,933.8231953375007,-881.399782283758
2026-06-15,moyenne_2h,1146.0748851013072,-1104.3050616003668
2026-06-15,moyenne_3h,1058.8907678657272,-1001.5422787950232
2026-06-15,mediane_3h,941.8007638170387,-894.0471420498965
2026-06-16,reference_23h,763.6942140797495,299.23214236796997
2026-06-16,origine_22h,722.6303265255458,362.8216930316004
2026-06-16,report_22h,734.7604680323585,326.2480961519399
2026-06-16,moyenne_2h,766.7297965886157,272.89228163806166
2026-06-16,moyenne_3h,785.9396446466781,625.5842092864582
2026-06-16,mediane_3h,734.7604680323585,326.2480961519399
2026-06-17,reference_23h,935.5404178302456,-162.4638946877736
2026-06-17,origine_22h,1041.7705688308517,9.387203910839478
2026-06-17,report_22h,932.5032177153787,-159.01759298586157
2026-06-17,moyenne_2h,929.5911409085732,-233.55446265794782
2026-06-17,moyenne_3h,910.176381813342,59.436880278955314
2026-06-17,mediane_3h,932.5032177153787,-159.01759298586157
2026-06-18,reference_23h,836.7548314938765,-732.9996500023351
2026-06-18,origine_22h,824.3895582590931,-531.1274944102399
2026-06-18,report_22h,784.9732707212347,-605.3798191858453
2026-06-18,moyenne_2h,810.4642637593275,-650.6471036327794
2026-06-18,moyenne_3h,838.7361941086837,-312.847609501308
2026-06-18,mediane_3h,784.9732707212347,-605.3798191858453
2026-06-19,reference_23h,469.4650643218556,-69.70392032784413
2026-06-19,origine_22h,520.6080580336047,4.890028487933349
2026-06-19,report_22h,490.4997062444394,101.01235564160838
2026-06-19,moyenne_2h,495.68037316405645,27.950261445887485
2026-06-19,moyenne_3h,590.8002901045911,368.62719916638764
2026-06-19,mediane_3h,490.4997062444394,101.01235564160838
2026-06-20,reference_23h,864.912306479291,-215.88570580015633
2026-06-20,origine_22h,915.6215466846362,-114.68962103542309
2026-06-20,report_22h,824.8728858020164,-267.6892433680221
2026-06-20,moyenne_2h,819.3452229579888,-361.68946853482623
2026-06-20,moyenne_3h,862.8136632770468,-110.25737743345456
2026-06-20,mediane_3h,824.8728858020164,-267.6892433680221
2026-06-21,reference_23h,1204.5463420984315,-960.0893150754637
2026-06-21,origine_22h,1230.070722372771,-1083.5575251237929
2026-06-21,report_22h,1342.0758650529897,-1204.7887156395097
2026-06-21,moyenne_2h,1537.8938181902429,-1422.1937105081047
2026-06-21,moyenne_3h,1397.9499538543441,-1279.7680840085625
2026-06-21,mediane_3h,1342.0758650529897,-1204.7887156395097
2026-06-22,reference_23h,2109.36204353996,-2069.45985514869
2026-06-22,origine_22h,2167.8220501727114,-2167.319784718034
2026-06-22,report_22h,2090.898875151988,-2055.624788170205
2026-06-22,moyenne_2h,2216.4037577944086,-2215.2250882975063
2026-06-22,moyenne_3h,2162.002672540997,-2157.8833914211164
2026-06-22,mediane_3h,2090.898875151988,-2055.624788170205
2026-06-23,reference_23h,947.8399815096789,-493.4400141846974
2026-06-23,origine_22h,1015.874172461042,-510.97446676055995
2026-06-23,report_22h,1007.1691365964637,-396.56308942828764
2026-06-23,moyenne_2h,961.5825329749606,-406.2679602037758
2026-06-23,moyenne_3h,1106.4906030202028,-215.96601172117326
2026-06-23,mediane_3h,1007.1691365964637,-396.56308942828764
2026-06-24,reference_23h,1062.2621287833817,-725.3301110788553
2026-06-24,origine_22h,1078.1265843061792,-643.7082088534868
2026-06-24,report_22h,1105.0122757788042,-660.845713351111
2026-06-24,moyenne_2h,1063.3511306315752,-641.7366714710357
2026-06-24,moyenne_3h,1093.948660773778,-326.3195572400386
2026-06-24,mediane_3h,1105.0122757788042,-660.845713351111
